fold,max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,30,0,0,0.7,0.248081675120302,0.221820995615166,0.0262606795051354,0.800057490192648,0.767403679264815,0.0326538109278328,24767500,5213750,19553750,172,2537,44242,120
1,2,30,0,0,1,0.250193448542688,0.20769622833843,0.0424972202042575,0.805309916727644,0.751394161178166,0.0539157555494783,25255000,4705000,20550000,163,2593,44186,129
1,2,30,0,5,0.3,0.221509590830809,0.207459207459207,0.0140503833716019,0.788830650076376,0.773327409237314,0.0155032408390616,22091250,4997500,17093750,178,2944,43835,114
1,2,30,0,5,0.5,0.232422474669942,0.217655642023346,0.0147668326465954,0.795049320906966,0.776952989677197,0.0180963312297688,23333750,5270000,18063750,179,2765,44014,113
1,2,30,0,5,0.7,0.245832794934746,0.226574500768049,0.019258294166697,0.798928766153259,0.775708797736486,0.0232199684167735,24542500,5427500,19115000,177,2561,44218,115
1,2,30,0,5,1,0.24605122396325,0.212503088707685,0.0335481352555649,0.806871008013166,0.765586624603535,0.0412843834096308,25076250,5001250,20075000,172,2707,44072,120
1,2,30,0,10,0.3,0.219806332798669,0.211596913724573,0.008209419074096,0.786262156925691,0.778635412447981,0.00762674447770984,21798750,5163750,16635000,181,2928,43851,111
1,2,30,0,10,0.5,0.231036407616449,0.221542227662179,0.00949417995426988,0.79031315762887,0.780687615359544,0.00962554226932599,22936250,5403750,17532500,181,2736,44043,111
1,2,30,0,10,0.7,0.234150306364887,0.212949286065977,0.0212010202989095,0.792380882809963,0.767149313575024,0.0252315692349399,23297500,5032500,18265000,173,2721,44058,119
1,2,30,0,10,1,0.243412960445394,0.219681397738952,0.0237315627064423,0.795134813803979,0.765520333588395,0.0296144802155844,24131250,5145000,18986250,171,2553,44226,121
1,2,30,5,0,0.3,0.218248044425867,0.21131721061282,0.0069308338130474,0.782615173018278,0.777104789146986,0.0055103838712921,21456250,5136250,16320000,180,2911,43868,112
1,2,30,5,0,0.5,0.231222842954687,0.216281895504253,0.0149409474504338,0.790347895624221,0.775197906682749,0.0151499889414712,22952500,5216250,17736250,178,2769,44010,114
1,2,30,5,0,0.7,0.241331571329684,0.219341974077767,0.0219895972519168,0.800409692834126,0.772852793388439,0.027556899445687,24326250,5245000,19081250,176,2668,44111,116
1,2,30,5,0,1,0.244145011228746,0.216784989858012,0.0273600213707334,0.79864284572999,0.76496452863318,0.0336783170968107,24408750,5080000,19328750,171,2605,44174,121
1,2,30,5,5,0.3,0.217482100238664,0.208382111917584,0.00909998832107983,0.781718926332389,0.773530491817104,0.00818843451528439,21340000,5021250,16318750,178,2925,43854,114
1,2,30,5,5,0.5,0.233798449612403,0.221411192214112,0.0123872573982911,0.794184602429317,0.782143418762722,0.0120411836665949,23383750,5422500,17961250,182,2760,44019,110
1,2,30,5,5,0.7,0.238257740274245,0.211730348016549,0.0265273922576955,0.800236540490995,0.768369968727918,0.0318665717630771,24093750,5023750,19070000,174,2767,44012,118
1,2,30,5,5,1,0.243416827231856,0.210179792352494,0.0332370348793618,0.79739066499651,0.756295999229253,0.0410946657672571,24277500,4823750,19453750,166,2615,44164,126
1,2,30,5,10,0.3,0.217352415026834,0.208382387567695,0.00897002745913877,0.781692204797504,0.772063999857096,0.00962820494040839,21327500,5001250,16326250,177,2902,43877,115
1,2,30,5,10,0.5,0.228401496106444,0.214045214045214,0.0143562820612302,0.78981613708001,0.774738298739014,0.015077838340996,22703750,5162500,17541250,178,2812,43967,114
1,2,30,5,10,0.7,0.23123198395789,0.213706705969049,0.0175252779888401,0.787738782537587,0.768776133887498,0.0189626486500885,22792500,5071250,17721250,174,2729,44050,118
1,2,30,5,10,1,0.235224352638861,0.217845030002609,0.0173793226362526,0.779487630125639,0.75925888914561,0.0202287409800294,22568750,5018750,17550000,167,2498,44281,125
1,2,30,10,0,0.3,0.216657942185773,0.206857142857143,0.00980079932863043,0.787453953396179,0.777587933878538,0.00986601951764143,21598750,5041250,16557500,181,3026,43753,111
1,2,30,10,0,0.5,0.230929861196413,0.215144230769231,0.0157856304271824,0.792903565641084,0.776439938949306,0.0164636266917783,23087500,5210000,17877500,179,2813,43966,113
1,2,30,10,0,0.7,0.241592578275995,0.224334600760456,0.0172579775155391,0.794072893601803,0.775291944020075,0.0187809495817284,23937500,5378750,18558750,177,2600,44179,115
1,2,30,10,0,1,0.245249101181305,0.213276123170116,0.0319729780111885,0.799959158147195,0.761326099962312,0.0386330581848829,24570000,4957500,19612500,169,2625,44154,123
1,2,30,10,5,0.3,0.216379711493718,0.206857142857143,0.00952256863657519,0.787025871204398,0.777587933878538,0.00943793732586051,21550000,5041250,16508750,181,3026,43753,111
1,2,30,10,5,0.5,0.226998673580128,0.210750651195832,0.0162480223842955,0.792521985325851,0.774043542544995,0.0184784427808556,22757500,5081250,17676250,178,2877,43902,114
1,2,30,10,5,0.7,0.236718699813709,0.221406882591093,0.0153118172226154,0.78835284020632,0.771771089474348,0.0165817507319712,23231250,5270000,17961250,175,2609,44170,117
1,2,30,10,5,1,0.23892736862172,0.219287316222278,0.0196400523994418,0.794359889292315,0.772842104831608,0.0215177844607065,23768750,5243750,18525000,176,2669,44110,116
1,2,30,10,10,0.3,0.216482092365693,0.205431754874652,0.0110503374910409,0.783726267250489,0.771411997890401,0.0123142693600884,21370000,4925000,16445000,177,2963,43816,115
1,2,30,10,10,0.5,0.220067804674954,0.207604385351061,0.0124634193238926,0.786315599995461,0.773359474907808,0.0129561250876534,21823750,5001250,16822500,178,2941,43838,114
1,2,30,10,10,0.7,0.224275227074779,0.213362594489149,0.0109126325856302,0.780105988863343,0.770178494506521,0.00992749435682172,21797500,5083750,16713750,175,2758,44021,117
1,2,30,10,10,1,0.231097794211399,0.212311557788945,0.018786236422454,0.782865801797957,0.761133705939353,0.021732095858604,22482500,4935000,17547500,169,2643,44136,123
1,3,30,0,0,0.3,0.232878352490421,0.213169114163903,0.0197092383265181,0.802975529845941,0.777500265749735,0.0254752640962064,23860000,5182500,18677500,180,2874,43905,112
1,3,30,0,0,0.5,0.253196289796942,0.217283950617284,0.0359123391796576,0.817896931013416,0.772446628228859,0.0454503027845569,26295000,5197500,21097500,176,2706,44073,116
1,3,30,0,0,0.7,0.268765598003456,0.204236006051437,0.0645295919520183,0.83256020855975,0.749222224467307,0.0833379840924423,28306250,4602500,23703750,162,2636,44143,130
1,3,30,0,0,1,0.272952853598015,0.202095808383234,0.0708570452147813,0.848473010700694,0.748773305080403,0.0996997056202906,29690000,4550000,25140000,162,2678,44101,130
1,3,30,0,5,0.3,0.233896644624051,0.215610696217779,0.0182859484062721,0.797939010109892,0.776536135960786,0.0214028741491059,23625000,5221250,18403750,179,2804,43975,113
1,3,30,0,5,0.5,0.256288411582082,0.219628514056225,0.036659897525857,0.818789967912195,0.771429055655755,0.0473609122564406,26561250,5230000,21331250,175,2641,44138,117
1,3,30,0,5,0.7,0.263340920586748,0.213823968175037,0.0495169524117103,0.829039891133539,0.765853838524312,0.0631860526092271,27720000,5032500,22687500,172,2682,44097,120
1,3,30,0,5,1,0.275076595177834,0.202631578947368,0.0724450162304656,0.828167677814427,0.737212386309628,0.0909552915047993,28372500,4410000,23962500,154,2478,44301,138
1,3,30,0,10,0.3,0.23248681143418,0.215558766859345,0.016928044574835,0.79543464864293,0.776525447403954,0.0189092012389759,23362500,5220000,18142500,179,2805,43974,113
1,3,30,0,10,0.5,0.239562813751033,0.224334600760456,0.0152282129905763,0.795221397982854,0.775291944020075,0.0199294539627789,23868750,5378750,18490000,177,2600,44179,115
1,3,30,0,10,0.7,0.247156744392909,0.210986267166042,0.0361704772268669,0.80555415796234,0.760866492018576,0.0446876659437639,25066250,4903750,20162500,169,2668,44111,123
1,3,30,0,10,1,0.250097949588612,0.19559585492228,0.054502094666332,0.801520771051719,0.731402020927901,0.070118750123818,24997500,4185000,20812500,151,2541,44238,141
1,3,30,5,0,0.3,0.233292831105711,0.212816834050693,0.0204759970550174,0.799319991844441,0.774481773375069,0.0248382184693727,23665000,5132500,18532500,178,2836,43943,114
1,3,30,5,0,0.5,0.251424952501583,0.221416062046535,0.0300088904550484,0.812309947658736,0.77473613906486,0.0375738085938764,25802500,5313750,20488750,177,2652,44127,115
1,3,30,5,0,0.7,0.266985645933014,0.209007215725305,0.0579784302077095,0.831139682156494,0.758993834898987,0.0721458472575065,28096250,4836250,23260000,168,2683,44096,124
1,3,30,5,0,1,0.271973252748666,0.2035557845916,0.0684174681570658,0.835342473989514,0.74323868250213,0.0921037914873845,28698750,4508750,24190000,158,2555,44224,134
1,3,30,5,5,0.3,0.226162475122128,0.216666666666667,0.00949580845546102,0.791243083057485,0.781181448647927,0.0100616344095583,22613750,5310000,17303750,182,2850,43929,110
1,3,30,5,5,0.5,0.243707796193984,0.217757459095284,0.0259503370987001,0.810973870914488,0.779928727824539,0.0310451430899487,25177500,5315000,19862500,181,2807,43972,111
1,3,30,5,5,0.7,0.254150702426565,0.220514112903226,0.0336365895233387,0.813518836302779,0.771600072565052,0.0419187637377276,26065000,5250000,20815000,175,2625,44154,117
1,3,30,5,5,1,0.256171252249936,0.213554987212276,0.0426162650376594,0.814227494610852,0.758435870269618,0.0557916243412339,26245000,4922500,21322500,167,2575,44204,125
1,3,30,5,10,0.3,0.227830668822226,0.209318826868496,0.0185118419537305,0.795660722436828,0.772267082436886,0.0233936399999428,23013750,5025000,17988750,177,2883,43896,115
