max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,diff_percent
1,30,15,5,0.139115372583893,0.132385730707152,0.849725433483626
1,30,15,10,0.137806945987448,0.13237914812204,0.685346706187494
1,30,15,15,0.137806945987448,0.13237914812204,0.685346706187494
1,30,10,15,0.140147450475876,0.132182615433295,1.00568842044543
1,30,15,0,0.138901991874975,0.131748949810924,0.903186511248093
1,30,20,15,0.136465252236947,0.131701390010832,0.601514162162638
1,30,20,20,0.136465252236947,0.131701390010832,0.601514162162638
1,30,10,20,0.137719389965138,0.131658957180923,0.76522703124279
2,20,15,10,0.136263795518102,0.131481665532501,0.603820760363877
1,30,20,0,0.136814689000099,0.130942069231384,0.741512619847331
1,30,20,5,0.135956900145777,0.13092716525088,0.635084859217571
2,20,15,20,0.134071113196725,0.130769769173171,0.416847736160982
1,30,20,10,0.135430704119528,0.130502953861652,0.622207659882306
2,20,5,5,0.135943125977307,0.130073452975643,0.741140543152149
2,20,0,0,0.135791459380967,0.130002362887053,0.730966464169749
2,20,20,5,0.135375103878454,0.129822271519274,0.701134320352801
2,20,0,15,0.136204544375576,0.129521669411422,0.843820359216977
3,20,20,20,0.139104833141325,0.129488218333913,1.21425216015083
2,20,0,10,0.138379800939497,0.129402195744533,1.13356692758083
2,20,5,0,0.135573795410189,0.128979504137258,0.832635244644389
2,20,15,0,0.137868536477374,0.128968757893416,1.12374006725389
2,20,10,20,0.133960129251749,0.128895781645678,0.639455270235681
2,20,10,0,0.135991288027737,0.128717450517566,0.918438877525121
2,20,5,10,0.135099235039732,0.128685040938288,0.809895082550429
2,20,10,10,0.133991104001136,0.128378217687298,0.708717097206114
2,20,10,5,0.134174492748765,0.128346327877362,0.735899474663538
2,20,10,15,0.135350810280547,0.128272927839913,0.893696400963183
2,20,0,20,0.136304424580092,0.12817570846282,1.0263810397233
2,20,20,0,0.136816213165865,0.126727157465701,1.27390541507006
2,20,15,5,0.13370191056932,0.12645025340199,0.915638252799388
2,20,20,20,0.133221853259467,0.126350699797748,0.86759354520365
2,20,5,15,0.132681196482529,0.12509186588753,0.958274949514748
2,20,20,10,0.13267911116218,0.12423386999983,1.06634741327845
2,20,20,15,0.133099889680047,0.123867592260862,1.16572591383816
2,20,5,20,0.132099470974491,0.122801801265122,1.17398021601831
1,10,5,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,5,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,5,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,10,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,10,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,10,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,10,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,15,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,15,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,15,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,15,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,20,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,20,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,20,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,20,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,5,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,10,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,10,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,10,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,10,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,15,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,15,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,15,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,15,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,20,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,20,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,20,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
2,10,20,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,5,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,10,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,10,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,10,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,10,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,15,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,15,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,15,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,15,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,20,5,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,20,10,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,20,15,0.0705257568123857,0.0705120147958216,0.00173515042786693
3,10,20,20,0.0705257568123857,0.0705120147958216,0.00173515042786693
1,10,10,0,0.0706606342570282,0.0704991088565955,0.0203951775466185
1,10,15,0,0.0707117018822573,0.0704954302182922,0.0273077730998096
1,10,20,0,0.0707217420464278,0.0704937553595565,0.0287869830042213
2,10,5,15,0.0705287301098213,0.0703382332884321,0.0240532850182759
3,10,5,15,0.0705104680436091,0.0702210910642702,0.0365384939811957
2,10,5,10,0.0705156149224938,0.0702176015404749,0.0376289786080779
3,10,5,10,0.0705156149224938,0.0702176015404749,0.0376289786080779
3,10,0,20,0.0706016313061058,0.0700849563312761,0.0652385186312347
3,10,0,15,0.0705825231108463,0.07006898818546,0.0648420369278518
3,10,5,5,0.0705815145865008,0.0700561049553766,0.0663414093559122
3,10,0,10,0.0706681073582485,0.0700431207646143,0.0789146010923401
2,10,15,0,0.0713069205738954,0.0700341032068693,0.160713646989145
2,10,0,10,0.0705432031213321,0.0700304742101993,0.064740264675559
2,10,0,15,0.0705432031213321,0.0700304742101993,0.064740264675559
2,10,0,20,0.0705432031213321,0.0700304742101993,0.064740264675559
2,10,5,5,0.0705432031213321,0.0700304742101993,0.064740264675559
2,10,20,0,0.0713145347655618,0.0699758447707221,0.169031124835479
3,10,20,0,0.0713347296584636,0.0697933826250268,0.194619832693117
3,10,15,0,0.0713071282585282,0.0697863514691184,0.192022508817218
1,10,0,20,0.070107463058051,0.0697293658878716,0.0477408438241051
1,10,5,5,0.070107463058051,0.0697293658878716,0.0477408438241051
1,10,5,0,0.0702151266169811,0.0697219278827731,0.0622742659853892
2,10,10,0,0.0712934521308452,0.0696658019371251,0.205516993586066
3,10,10,0,0.0713247570815036,0.0696022084944791,0.217499440774838
2,10,5,0,0.0712801732846668,0.0694435022049791,0.23190923944238
3,10,5,0,0.0713328559572601,0.0692819181335745,0.258963859176914
1,10,0,0,0.069787864167519,0.0691033859372988,0.0864263762525258
1,10,0,5,0.069787864167519,0.0691033859372988,0.0864263762525258
1,10,0,10,0.069787864167519,0.0691033859372988,0.0864263762525258
1,10,0,15,0.069787864167519,0.0691033859372988,0.0864263762525258
3,10,0,5,0.066650458801565,0.0647860502508595,0.235411540904493
2,10,0,5,0.0654054187525031,0.0646348939737391,0.0972911357895669
3,10,0,0,0.0642328316439764,0.0628503674276333,0.174558323759828
2,10,0,0,0.0607710332875494,0.0598577069563007,0.115322126637176
1,20,0,0,0,0,0
1,20,0,5,0,0,0
1,20,0,10,0,0,0
1,20,0,15,0,0,0
1,20,0,20,0,0,0
1,20,5,0,0.00143292205825736,0,0.180929437168023
1,20,5,5,0,0,0
1,20,5,10,0,0,0
1,20,5,15,0,0,0
1,20,5,20,0,0,0
1,20,10,0,0.00179051122567556,0,0.226080816076267
1,20,10,5,0,0,0
1,20,10,10,0,0,0
1,20,10,15,0,0,0
1,20,10,20,0,0,0
1,20,15,0,0.00286034414780454,0,0.361164414900909
1,20,15,5,0,0,0
1,20,15,10,0,0,0
1,20,15,15,0,0,0
1,20,15,20,0,0,0
1,20,20,0,0.00428578350777493,0,0.541149041161907
1,20,20,5,0,0,0
1,20,20,10,0,0,0
1,20,20,15,0,0,0
1,20,20,20,0,0,0
