fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,40,5,5,0.163885280303787,0.163885280303787,0.0190254672196752,0.718646468288416,0.685717662847,0.0329288054414153,7381250,597500,6783750,31,731,22727,46
1,2,40,5,10,0.160642570281125,0.160642570281125,0.0214960025631282,0.713008173357152,0.679032324142734,0.0339758492144175,7040000,537500,6502500,30,740,22718,47
1,2,40,5,15,0.149938511020717,0.149938511020717,0.0193902081486544,0.709405033811258,0.677518981146741,0.0318860526645162,6126250,448750,5677500,30,811,22647,47
1,2,40,10,0,0.163431559891381,0.163431559891381,0.020045805959836,0.716641938070821,0.685483201256072,0.0311587368147495,7311250,583750,6727500,31,742,22716,46
1,2,40,10,5,0.159242088288652,0.159242088288652,0.0170402534262662,0.710223366388202,0.685291369045312,0.0249319973428894,6887500,572500,6315000,31,751,22707,46
1,2,40,10,10,0.159729448491155,0.159729448491155,0.0128100172115342,0.704493972949338,0.686037383198267,0.0184565897510717,6827500,616250,6211250,31,716,22742,46
1,2,40,10,15,0.15076112412178,0.15076112412178,0.0173091668264062,0.704420392472009,0.678051848398852,0.0263685440731578,6130000,480000,5650000,30,786,22672,47
1,2,40,15,0,0.160787860516531,0.160787860516531,0.0196221045966767,0.713029488148196,0.685120851524637,0.0279086366235588,7051250,562500,6488750,31,759,22699,46
1,2,40,15,5,0.156648637616083,0.156648637616083,0.0167232644817549,0.704046362337414,0.679160212283241,0.0248861500541736,6591250,545000,6046250,30,734,22724,47
1,2,40,15,10,0.149340574088441,0.149340574088441,0.0146906638550475,0.703550119936246,0.678264995299696,0.0252851246365503,6e+06,492500,5507500,30,776,22682,47
1,2,40,15,15,0.152396230198516,0.152396230198516,0.0280868379333228,0.701475806002096,0.659317343071286,0.0421584629308096,6222500,377500,5845000,27,751,22707,50
1,4,40,0,0,0.219164118246687,0.219164118246687,0.0840289831115519,0.792420495591896,0.672624076409565,0.119796419182331,12727500,493750,12233750,29,736,22722,48
1,4,40,0,5,0.206248104337276,0.206248104337276,0.0641766102951131,0.776417247329032,0.685270054355228,0.0911471929738036,11526250,571250,10955000,31,752,22706,46
1,4,40,0,10,0.181317539484622,0.181317539484622,0.0282074916377318,0.734646245517973,0.692765351282701,0.0418808942352715,8910000,678750,8231250,32,705,22753,45
1,4,40,0,15,0.174192190295758,0.174192190295758,0.0296835197755272,0.72200093527213,0.67988491174611,0.0421160235260198,8163750,587500,7576250,30,700,22758,47
1,4,40,5,0,0.203580562659847,0.203580562659847,0.0778822386375002,0.769504964419093,0.659573119352299,0.109931845066793,11171250,392500,10778750,27,739,22719,50
1,4,40,5,5,0.183538413814497,0.183538413814497,0.0467459609843083,0.738847139072558,0.672901167380663,0.0659459716918954,9151250,510000,8641250,29,723,22735,48
1,4,40,5,10,0.170532060027285,0.170532060027285,0.0203382615776727,0.717622418458845,0.686527621070208,0.0310947973886374,7828750,645000,7183750,31,693,22765,46
1,4,40,5,15,0.168430144677176,0.168430144677176,0.0304991101944169,0.708911648311404,0.66734550725087,0.0415661410605336,7512500,516250,6996250,28,679,22779,49
1,4,40,10,0,0.191906549853984,0.191906549853984,0.0514571116517369,0.7483868177606,0.679245471043578,0.0691413467170212,9905000,550000,9355000,30,730,22728,47
1,4,40,10,5,0.174315745655115,0.174315745655115,0.0362205075598769,0.72461996053296,0.673114314281507,0.0515056462514535,8228750,522500,7706250,29,713,22745,48
1,4,40,10,10,0.166423205342237,0.166423205342237,0.0264618153808471,0.713179957272428,0.673412719942688,0.0397672373297399,7460000,540000,6920000,29,699,22759,48
1,4,40,10,15,0.161894846434149,0.161894846434149,0.0231388655729048,0.707380617253276,0.673220887731929,0.0341597295213475,7033750,528750,6505000,29,708,22750,48
1,4,40,15,0,0.187938868236266,0.187938868236266,0.0567298710478874,0.745284657236106,0.666237143366481,0.0790475138696245,9585000,451250,9133750,28,731,22727,49
1,4,40,15,5,0.169186845722745,0.169186845722745,0.0387520631140494,0.7141994333455,0.660404392265591,0.0537950410799086,7668750,441250,7227500,27,700,22758,50
1,4,40,15,10,0.169302621802356,0.169302621802356,0.0277010593023564,0.713565991821336,0.673668496223701,0.0398974955976348,7663750,555000,7108750,29,687,22771,48
