max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,30,5,0,0.7,0.241245974583795,0.224972918979073,0.0162730556047213,0.798291435213946,0.77658258777733,0.0217088474366161,24183750,5408500,18775250
2,40,5,0,0.5,0.240689572182115,0.223921701723616,0.0167678704584993,0.799093837247598,0.777274365724081,0.0218194715235168,24195500,5398500,18797000
2,40,5,5,0.7,0.241000316640595,0.222512629101128,0.0184876875394668,0.797498867255128,0.773134419576671,0.0243644476784573,24116000,5308250,18807750
3,40,10,0,0.3,0.239607732720149,0.223884642774369,0.0157230899457807,0.801455936384975,0.779941838712214,0.0215140976727605,24270250,5437750,18832500
3,30,10,5,0.7,0.243133028978023,0.227724612254855,0.0163320684266542,0.798320932743431,0.776500494394581,0.0218204383488503,24318750,5459500,18859250
3,40,10,5,0.7,0.243142289044726,0.227736513341095,0.0163294274071179,0.798322536035524,0.776502632105947,0.0218199039295772,24319500,5459750,18859750
2,30,0,10,1,0.241184431776511,0.21873869416818,0.022445737608331,0.795793699100051,0.765062308947671,0.03073139015238,24015250,5121750,18893500
2,40,0,10,1,0.241184431776511,0.21873869416818,0.022445737608331,0.795793699100051,0.765062308947671,0.03073139015238,24015250,5121750,18893500
3,20,0,5,0.5,0.241029375269579,0.222745009650057,0.0182843656195219,0.800272801700955,0.775591963408015,0.0246808382929395,24292500,5353250,18939250
2,40,0,5,0.5,0.241302303908954,0.224304036667968,0.016998267240986,0.800997922588441,0.776766862935354,0.0242310596530867,24359000,5399750,18959250
2,30,5,5,1,0.242960374704536,0.220918331020552,0.0220420436839842,0.795657841765038,0.765738264072096,0.0299195776929422,24133500,5170500,18963000
3,20,5,5,0.7,0.24364621743588,0.226773338211171,0.0168728792247094,0.799607959453114,0.776924622418507,0.0226833370346069,24436000,5448500,18987500
2,40,0,0,0.5,0.24190694315611,0.225635119697363,0.0168788881844405,0.801933289999214,0.779391152411879,0.022542137587335,24463250,5464250,18999000
3,40,0,10,0.3,0.24313715502578,0.22724577244188,0.0158913825839,0.801777232384217,0.781764900922661,0.0200123314615555,24541750,5529750,19012000
2,40,10,0,0.7,0.24345755099822,0.22871568889879,0.0147418620994296,0.801977325212648,0.780861057707222,0.0211162675054258,24574750,5545250,19029500
2,40,5,5,1,0.243588863976843,0.221601115869178,0.0219877481076652,0.796591071695793,0.766465949806269,0.0301251218895234,24236750,5195000,19041750
3,20,10,5,1,0.242864827011683,0.220206870412198,0.0226579565994849,0.797372095796068,0.767044427314046,0.0303276684820218,24238500,5171750,19066750
3,20,0,0,0.5,0.24156220453323,0.21977980982697,0.0217823947062599,0.80051778462015,0.77084020275408,0.0296775818660704,24346500,5221750,19124750
3,40,5,0,0.3,0.243572159358805,0.226378699475041,0.0171934598837637,0.804182297987879,0.7813027198139,0.0228795781739789,24727500,5506000,19221500
2,30,10,0,1,0.24537649734177,0.224524876048469,0.0208516212933014,0.799893879933506,0.77293047061377,0.026963409319736,24569750,5345000,19224750
3,30,10,5,1,0.244291753596042,0.219780706769675,0.0245110468263669,0.799194624813642,0.76666348275603,0.0325311420576119,24454750,5157500,19297250
3,40,10,5,1,0.244291753596042,0.219780706769675,0.0245110468263669,0.799194624813642,0.76666348275603,0.0325311420576119,24454750,5157500,19297250
2,30,5,0,1,0.244765118986629,0.221800938443642,0.0229641805429864,0.800780294659293,0.770349369767151,0.0304309248921428,24590500,5255250,19335250
3,30,0,10,0.5,0.243906881819989,0.22245527408888,0.0214516077311085,0.803340348105446,0.773434130051693,0.0299062180537538,24697250,5313000,19384250
3,40,0,10,0.5,0.244160737858677,0.222583896955172,0.021576840903505,0.803234315728155,0.773457644968119,0.029776670760036,24708250,5315750,19392500
2,30,0,0,0.7,0.245858916406877,0.222798946411306,0.0230599699955716,0.801926442872675,0.770860711748066,0.0310657311246091,24732750,5284750,19448000
2,30,0,5,0.7,0.246047618421506,0.223722514770817,0.0223251036506891,0.803239229337013,0.772825725635867,0.0304135037011453,24831750,5332750,19499000
3,20,10,0,0.7,0.246005189456559,0.224004373252228,0.0220008162043309,0.804671409580149,0.774910874520785,0.0297605350593636,24926000,5364500,19561500
3,30,5,5,0.7,0.248524438384839,0.22734100857824,0.0211834298065981,0.803523331034873,0.775528678086819,0.0279946529480533,25025250,5436750,19588500
2,30,0,0,1,0.246372748457091,0.220180932975547,0.0261918154815444,0.802772453587087,0.767990587703682,0.0347818658834052,24825500,5191500,19634000
